Company_Brand,HeadQuarter,Sector,What_it_does,Amount,Stage,Stage_category,Funding_year,Sector_category
SucSEED Indovation,Hyderabad,FinTech,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",50000000.0,Undisclosed,Others,2020,Financials
TaxBuddy.com,Mumbai,FinTech,TaxBuddy for any tax related issues.,10000000.0,Undisclosed,Others,2020,Financials
Awign Enterprises,Bangalore,Work fulfillment,Operations and manpower outsourcing startup,5000000.0,Undisclosed,Others,2020,Consumer Discretionary
Circle of Angels,Gurgaon,FinTech,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,30000000.0,Undisclosed,Others,2020,Financials
CoinDCX,Mumbai,FinTech,CoinDCX is a company that specializes in crypto-enabled financial services.,100000000.0,Series B,"Series B,C,D&E",2020,Financials
Glance,Bangalore,AI startup,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,1450000000.0,Undisclosed,Others,2020,Information Technology
VerSe Innovation,Bangalore,Telecommunication,Owner of Dailyhunt App and I-Pay,1000000000.0,Undisclosed,Others,2020,Communication Services
Voosh,Bangalore,Food Industry,Building India's largest digital food service brand,0.0,Pre-seed,Pre-seed,2020,Consumer Discretionary
Delhivery,Gurgaon,E-commerce,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,0.0,Undisclosed,Others,2020,Consumer Discretionary
Arya,Noida,AgriTech,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation",210000000.0,Series B,"Series B,C,D&E",2020,Information Technology
Pickrr,New Delhi,Logistics,Pickrr is an on-demand first mile logistics company,40000000.0,Undisclosed,Others,2020,Industrial
Countingwell,Bangalore,EdTech,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",10000000.0,Pre-series A,Pre-seed,2020,Information Technology
Callify.ai,Mumbai,Tech Startup,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,5600000.0,Seed,Seed,2020,unknown
Hudle,New Delhi,Sports,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,0.0,Pre-series A,Pre-seed,2020,Consumer Discretionary
Cover it Up,Chennai,E-commerce,Online portal that churns out high quality products,4000000.0,Seed,Seed,2020,Consumer Discretionary
BiteSpeed,Gurgaon,E-commerce,Chat-based commerce for E-commerce brands,2750000.0,Seed,Seed,2020,Consumer Discretionary
WakeFit,Bangalore,Retail,Wakefitkart is a mattress manufacturing company,200000000.0,Series B,"Series B,C,D&E",2020,Consumer Discretionary
Sreyas Holistic Remedies,Hyderabad,Medtech,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,10000000.0,Undisclosed,Others,2020,unknown
Fleeca India,Jaipur,Tyre management,FLEECA is a Tyre Care Provider company.,0.0,Undisclosed,Others,2020,Material
M1xchange,Gurgaon,FinTech,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,45000000.0,Undisclosed,Others,2020,Financials
Exotel,Bangalore,Cloud company,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,50000000.0,Undisclosed,Others,2020,Information Technology
PagarBook,Bangalore,Software company,"Staff's Salary, Work & Attendance Management Application",150000000.0,Series A,Series A,2020,Information Technology
PointOne Capital,Bangalore,Venture capitalist,Pre-seed/Seed focussed VC investor,0.0,Undisclosed,Others,2020,Financials
Ayana,Bangalore,Renewable player,Ayana Renewable Power is an Indian renewable energy platform,3900000000.0,Undisclosed,Others,2020,Industrial
Fisdom,Bangalore,FinTech,Fisdom is a fintech company that offers investment advisory services through an application.,70000000.0,Undisclosed,Others,2020,Financials
Tinker Coders,Noida,EdTech,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,0.0,Seed,Seed,2020,Information Technology
